name,Biography,last_name,creator image,location,latitude,longitude,roles,jobTitle,affiliation,location_name,iteration,sequence,year,title,body_y,references,makers
Christian Siegrist,"Christian Siegrist is a senior interaction designer and founding partner at Interactive Things. He holds a BA in interaction design from Zurich University of the Arts. His work centers around creating intuitive user interfaces and understandable data visualizations. Siegrist’s priority is client and user happiness. He always advocates for the end user by basing his concepts on user research from an early stage, validating decisions throughout the whole design and development process.",Siegrist,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/christian-siegrist/image.jpg,,,,['maker'],,,,,,,,,,
Christian Von Mering,"Christian von Mering holds a BA in biochemistry from the Free University of Berlin and a PhD in developmental biology from the University of Zürich. He has worked as a postdoctoral researcher and a staff scientist at EMBL. Von Mering leads the Bioinformatics Group at the Institute of Molecular Life Sciences, University of Zürich, and the Swiss Institute of Bioinformatics in Lausanne, researching the genomes of microbial communities via a metagenomics approach.
",Von Mering,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/christian-von-mering/image.jpg,,,,['maker'],,,"Zürich, Switzerland",,,,,,,
Christine Kreuder Johnson,"Christine Kreuder Johnson is associate professor of epidemiology in the School of Veterinary Medicine, University of California, Davis where she works primarily on ecosystem-level process that impact wildlife and public health. Since appointment to the faculty in 2003, she has led scientific programs and large-scale population health investigations to address emerging wildlife disease, mortality events, and threats to public health and conservation. Before joining the faculty at UC Davis, she worked as a veterinarian in private equine racetrack practice. Current activities are focused on identifying situations likely to facilitate future disease emergence and developing risk-based approaches for disease surveillance and epidemiologic tools for integrating data across field studies from the local to global scale to provide evidence-based support for policy decisions.",Kreuder Johnson,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/christine-kreuder-johnson/image.jpg,,,,['maker'],,,"Davis, CA, USA",,,,,,,
Christoph Römhild,"Christoph Römhild studied theology at universities in Berlin and Hamburg and at a Jewish college in London. Initially, he worked as a full-time software developer before becoming a Lutheran pastor in 2003. After some months at the Evangelical Church in Germany (EKD), where he developed a system for email response management, he moved to Hamburg and became a pastor at the North Elbian Evangelical Lutheran Church. Since 2009, Römhild has been the local project manager for the EKD-run Geistreich project, a best-practice portal for Protestant church practitioners aiming to strengthen cooperation and communication across Europe.",Romhild,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/christoph-romhild/image.jpg,,,,['maker'],,,"Hamburg, Germany",,,,,,,
Christopher N. Hill,"Chris Hill specializes in the application of large-scale computation to all aspects of understanding Earth and planetary systems. He is a founding developer of the MIT general circulation model (MITgcm), a numerical simulation tool used for a wide range of basic science and applied studies in planetary fluid dynamics. Hill also helped launch the Earth System Modeling Framework (ESMF), a major open standard for creating multicomponent models of Earth system processes. Among various projects, Hill co-leads the research, education, and outreach committee of the Massachusetts Green High Performance Computing Center (MGHPCC), a multi-university enterprise dedicated to enhancing large-scale computing infrastructure.
",Hill,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/christopher-n-hill/image.jpg,,,,['maker'],,,"Holyoke, MA, USA",,,,,,,
Chuck Meertens,"Charles Meertens is the facility director and interim president of UNAVCO in Boulder, Colorado. UNAVCO provides GPS project support, technology development, and data management and archiving services to the UNAVCO research community—supported by the National Science Foundation (NSF)—and to NASA's Global GPS Network (GGN). He is also one of the co-principal investigators on GEON (the Geosciences Network), which began as a collaborative research project funded under the NSF Information Technology Research (ITR) program. GEON is conducting fundamental research toward developing a cyberinfrastructure for the earth sciences. Meertens is actively engaged in education and outreach activities at UNAVCO, particularly in the areas of visualization and data access. He received a PhD in geophysics from the University of Colorado in 1987 and subsequently conducted GPS research in earthquake, volcanic, and tectonic processes there, at the University of Utah, and at UCAR/UNAVCO (while the UNAVCO facility was still part of the University Corporation for Atmospheric Research).",Meertens,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/chuck-meertens/image.jpg,,,,['maker'],,,"Boulder, CO, USA",,,,,,,
Chunming Hu,N/A,Hu,N/A,,,,['maker'],,,,20,7,2023,GeneticFlow: Exploring Scholar Impact with Visualization,"<!--StartFragment-->

Macroscope Link: <https://genetic-flow.com/>

GeneticFlow, our Macroscope, is intricately designed for the academic user groups at large, e.g., researchers, educators, decision-makers, or even fresh students in universities and research institutions. The tool meets an important need of academic researchers on the in-depth analysis and interpretation of scholars' impact, streamlining tasks such as scientific career analysis, academic award selection, and tenure evaluation. For junior students, it also opens a door for visually understanding the career path and biography of prestigious scientists, e.g., Turing award winners and Nobel prize laureates. Now we focus on several areas inside the computer science discipline, including AI, database, graphics, visualization, etc., but we may extend the coverage to more disciplines in near future (e.g., physics, material). 

The GeneticFlow tool mainly utilizes the comprehensive dataset provided by Microsoft Academic Graph, which encompasses an almost full coverage of academic data including papers, authors, citations, and topics, till 2021.10. At its core, the GeneticFlow tool designed a self-citation graph to visualize the evolution of a scholar’s research innovations, as well as their external impact. Cutting edge algorithms, including advisor-advisee detection, extend-type citation classification, embedding-based topic generation, and graph neural networks are employed in our tool for both effective visualization and downstream inference tasks. More details can be found in our KDD 2023, VIS 2023, and NeuroIPS 2023 papers. 

The visualization design employs a time-dependent hierarchical graph representation, further augmented with appropriate color mapping, interactive trend charts, and a topical map view, providing multidimensional insights into temporal and thematic aspects of a scholar's research contribution and impact. Through extensive case studies and quantitative evaluations, we find that the GeneticFlow visualization can highlight the key success of top-ranked scholars. It also predicts high-level award recipients (e.g., ACM fellows), with significantly better performance than classical impact indicators such as h-index, i-10 index, and citation networks.

<!--EndFragment-->","<!--StartFragment-->

Yuankai Luo, Lei Shi\*, Mufan Xu, Yuwen Ji, Fengli Xiao, Chunming Hu, Zhiguang Shan\*,“Impact-Oriented Contextual Scholar Profiling using Self-Citation Graphs”, KDD, 2023.

<!--EndFragment-->; <!--StartFragment-->

Fengli Xiao and Lei Shi*, “GeneticFlow: Exploring Scholar Impact with Interactive Visualization ”, IEEE VIS (short paper), 2023.

<!--EndFragment-->; <!--StartFragment-->

Yuankai Luo, Veronika Thost\*, and Lei Shi\*, “Transformers over Directed Acyclic Graphs”, NeurIPS, 2023.

<!--EndFragment-->",fengli-xiao/readme; ye-sun/readme; yuankai-luo/readme; lei-xia/readme; weize-wu/readme; chunming-hu/readme; lei-shi/readme
Clark Friefeld,"Clark Freifeld, PhD, is a research software developer at the Children's Hospital Informatics Program and co-founder of HealthMap. He studied computer science and mathematics at Yale University, and has over ten years of experience developing feature-rich web applications. His interests include web-based user-interface design, data visualization, text mining, and technologies for developing countries.
",Friefeld,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/clark-friefeld/image.jpg,,,,['maker'],,,,,,,,,,
Claudius Ptolemy,"Claudius Ptolemy (circa AD 90–168) was a profoundly influential astronomer, astrologer, geographer, and mathematician. Also known as Claudius Ptolemaeus, Ptolomaeus, Klaudios Ptolemaios, and Ptolemeus, he lived and worked in Alexandria, Egypt. His curiosity about the dynamic relationships between celestial bodies and the causes and effects of climate led him to invent a longitude and latitude grid system to construct maps of the world. His mathematical proofs stating that the Earth is a sphere are still accepted today, in spite of the fact that he placed this sphere as a fixed point in the center of a universe that revolved around it daily. Ptolemy synthesized and extended Hipparchus’s system of epicycles and circles to develop a geocentric theory of the solar system. His theory required more than 80 epicycles to explain the motions of the sun, the moon, and the five planets known in his time. It is described in Mathematical Syntaxis—widely called the Almagest—a 13-book mathematical treatment of the phenomena of astronomy, providing a means of calculating positions. The Almagest included a star catalog of 48 constellations, listing the names we still use today. Ptolemy also made major contributions to the history of geography and cartography. Ptolemy’s is the first known projection of the sphere onto a plane. His geography remained the principal work on the subject until the work of Columbus.",Ptolemy,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/claudius-ptolemy/image.jpg,,,,['maker'],,,"Alexandria, Egypt",,,,,,,
Council for Chemical Research,"The Council for Chemical Research (CCR) is an organization based in Washington, D.C., the membership of which represents industry, academia, and government. CCR was formed in 1979 to promote cooperation in basic research and to encourage high-quality education in the chemical sciences and engineering. The mission of the CCR is to benefit society by advancing research in chemistry, chemical engineering, and related disciplines through leadership collaboration across disciplines, institutions, and sector boundaries. As of 2011, CCR’s membership represents most of the U.S. chemical research enterprise, comprising more than 200 companies, universities, and government laboratories with a combined R&D budget of more than $7 billion. More information can be found at http://www.ccrhq.org.",Council,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/council-for-chemical-research/image.jpg,,,,['maker'],,,"Washington, D.C., USA",,,,,,,
Damien Joly,"Dr. Damien Joly is an epidemiologist whose applied and basic research activities have focused on detecting, understanding, and managing transmission of infectious disease at the human-livestock-wildlife health interface. In addition to his epidemiological research, Damien has a great interest in developing and implementing systems for managing, integrating, and sharing data and other information relevant in a One Health context. He has a particular interest in emerging and novel technologies for detection of health threats (e.g., digital disease detection) and has collaborated with the leaders in this field, Healthmap.org, for a number of years.
",Joly,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/damien-joly/image.jpg,,,,['maker'],,,,,,,,,,
Dan Calacci,"Dan Calacci is a doctoral candidate at the MIT Media Lab studying how data stewardship and analysis can impact community governance. His research has been published in top international conferences on computational social science, machine learning, and data ethics. Calacci’s art has been exhibited globally, and his writing and work have appeared in Gizmodo, Wired, Reuters, The New York Times, and other major publications. He is also the co-founder of Riff Analytics, a company focused on building AI-driven products for distributed online learning.",Calacci,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/dan-calacci/calacci_dan.png,,,,['maker'],,,"Cambirdge, MA, USA",,,,,,,
Daniel Haight,"Daniel Haight is the president and co-founder of Darkhorse Analytics. He is a certified analytics professional and an award-winning lecturer at the University of Alberta School of Business. His work has spanned healthcare, energy, marketing, professional sports, and transportation. His current work focuses on predictive analytics and data visualization. His goal is to help people make better decisions by combining their experience with the power of visual analytics.  His even bigger goal is to design a company where Monday mornings are even more exciting than Friday afternoons.
",Haight,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/daniel-haight/image.jpg,,,,['maker'],,,"Edmonton, AB, Canada",,,,,,,
Daniel O. Kutz,"Daniel Kutz's holds a BS and MS in computer science from Binghamton University. He is a doctoral student at the Department of Information and Library Science, School of Informatics and Computing at Indiana University. His research interests lie in social informatics, interaction design, and information visualization. Specifically, he studies how information systems mediate interaction in online social software and how the design and representation of participants in this space influences engagement. He is also interested in using data mining and information visualization techniques to analyze large datasets, such as patent data, in order to facilitate a better understanding of the given data. Kutz's recent work focuses on understanding how young, middle-aged, and older adults conceptualize and respond to ubiquitous health-tracking technology. He also has research experience in personal health records, games for health, and computer-mediated communication.
",Kutz,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/daniel-o-kutz/image.jpg,,,,['maker'],,,"Bloomington, IN, USA",,,,,,,
Daniel Zeller,"Daniel Zeller holds a BFA and an MFA in sculpture from the University of Connecticut, Storrs, and the University of Massachusetts, Amherst, respectively. He lives and works in New York as a professional artist. Daniel Zeller's drawings depict abstract spaces with beauty and inspiring complexity. The visual language he developed stimulates people's intellect and emotions in unexpected ways.Zeller's works can be seen as travel documents—charts or aerial views that reflect a wide range of sources, from satellite imagery to electron micrographs, anatomical diagrams to road maps. For Zeller, drawing, like travel, is a fluid action, a continuous response to itself, an endless effort to be present where the mark is being made. It is also a discipline in which past experience and study inform the mark, guiding it in ways that can become increasingly predictable. It thus becomes imperative to combine learned patterns into something else, to alter the predictable and discover that which is different yet somehow familiar. It is exploration, an active desire to find what is uncharted or hidden. On a geographic level, people still engage in this activity as individuals. But collectively they have reached a certain level of saturation—most of the frontiers have met one another and disappeared. Maps and charts show people where to explore and how to get to places that others have already seen.Zeller was awarded a Pollock-Krasner Foundation grant in 2001. His work is featured in the collections of the Museum of Modern Art, the Arkansas Art Center, the Los Angeles County Museum of Art, and the Whitney Museum of American Art. Recent solo exhibitions include Drawings (2001), Empirical Cryptosis (2003), Cyclical Redundance (2005), and Geomorphical Fluxitosis (2008) at Pierogi Gallery (Brooklyn, New York); Recent Drawings (2004) and New Drawings (2007) at Daniel Weinberg Gallery (Los Angeles, California); Biodegradable (2004) and Erreur Infinie (2006) at g-module (Paris, France); and Drawings (2008) at Michel Soskine Inc. (Madrid, Spain).",Zeller,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/daniel-zeller/image.jpg,,,,['maker'],,,"New York, NY, USA",,,,,,,
Daniela Coray,"Daniela Coray currently serves as co-chair of the K-12 Outreach Committee for the Boston Society of Landscape Architects, developing and delivering youth programs in design and landscape architecture. She holds a master in landscape architecture from the Boston Architectural College, and a master in environmental art from Falmouth University in the UK. Coray is former coordinator and faculty in landscape architecture at the Boston Architectural College. Her research interests include the creation of narrative mechanisms for building equitable resilience, post-migration placelessness, and the social dimensions of climate change. Her recent research has focused on contested landscapes and a re-configuring of the concept of place in the Latin American and North American urban contexts. She has also developed work on environmental education, youth empowerment, and design as a catalyst for youth engagement.",Coray,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/daniela-coray/daniela-coray.png,,,,['maker'],,,"Boston, MA, USA",19,5,2020,Spatial Equity NYC,"Authors: Niko McGlashan, Sarah Williams, Daniela Coray, Kelly Fang, Enrique Casillas, Jari Prachasartta, Jiajie Li

Link to Macroscope: <https://www.spatialequity.nyc/>

Abstract: 

Spatial Equity NYC documents inequities in the ways that public space — including streets, sidewalks, and greenspaces — is designed, distributed, and accessed. Browse citywide data or search community profiles to learn how decisions about the use of public space lead to unequal outcomes and what you can do about it.
","- Please check back with us in the coming weeks should we be accepted to include more relevant publications and conference proceedings.

- Homepage for the Leventhal Center for Advanced Urbanism https://lcau.mit.edu/
",niko-mcglashan/readme; sarah-williams/readme; daniela-coray/readme; kelly-fang/readme; enrique-casillas/readme; jari-prachasartta/readme; jiajie-li/readme
Daniele Quercia,"Daniele Quercia, a computer scientist specializing in urban computing, is currently building the Social Dynamics team at Bell Labs Cambridge, UK. He has been named one of Fortune magazine’s 2014 Data All-Stars, and spoke about “happy maps” at TED. His research received best paper awards from ACM Ubicomp 2014 and AAAI ICWSM 2015, as well as an honorable mention from AAAI ICWSM 2013. He was a research scientist at Yahoo Labs, a Horizon senior researcher at The Computer Laboratory of the University of Cambridge, and a postdoctoral associate at MIT. He received his PhD from UC–London.",Quercia,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/daniele-quercia/image.jpg,,,,['maker'],,,"Cambridge, England",,,,,,,
Danny Dorling,"Danny Dorling leads the Social and Spatial Inequalities (SASI) research group in the Department of Geography at the University of Sheffield and has done much work in the development of cartograms and human cartography. Responsible for having devised this project, Dorling also orchestrated the research efforts involved in gathering all of the required data.
",Dorling,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/danny-dorling/image.jpg,,,,['maker'],,,"Sheffield, England",,,,,,,
Danyel Fisher,"Danyel Fisher is a researcher in the VIBE (Visualization and Interaction for Business and Entertainment) group at Microsoft Research. He received an MS from the University of California, Berkeley, in 2000 and a PhD in computer science from the University of California, Irvine, in 2004. His research centers on using qualitative and quantitative social network analysis and visualization to understand the ways that people in online groups interact—via e-mail, Usenet, blogs, and contemporary social software. He uses these results to design the next generation of interfaces for social software, as well as to address broader questions of social structure. His recent research looks at visualizing large data sets created from human activities, including Web server logs.",Fisher,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/danyel-fisher/image.jpg,,,,['maker'],,,,,,,,,,
Dare Brawley,N/A,Brawley,N/A,,,,['maker'],,,,19,7,2023,Mapping the New Politics of Care,"Authors: Laura Kurgan, Gregg Gonsalves, Dare Brawley, Jia Zhang, Suzan Iloglu,Thomas Thornhill, Adeline Chum, 

Link to Macroscope: <https://newpoliticsofcare.net/>

Abstract: 

Mapping the New Politics of Care displayed the effects of COVID-19 in the United States layering a wide range of social, economic, and environmental conditions on two interactive maps utilizing multiple vulnerability indexes. 

The first map, titled Community Health Workers, asked viewers to imagine what would happen if one million community workers were allocated across the USA by comparing four indexes of vulnerability alongside COVID-19 data. A user can toggle between multiple vulnerabilities for the distribution of the workers, specific to each county. Making decisions like this responsibly requires confronting and addressing not just the virus but also the inequalities and vulnerabilities that propelled the pandemic.

All people in the USA were granted the right to have access to free, safe, and effective COVID-19 vaccines over multiple federal distribution phases. But due to the limited doses available, the majority of states followed the Center for Disease Control’s recommendations to prioritize health-care personnel and long-term care facility residents in receiving the first vaccines. 

The second map titled, Vaccine Allocation, focused on this first distribution, Phase 1A of the federal program and compared how each state could have distributed 22 million doses of vaccine more equitably. Users can compare Phase 1A allocation vs allocation to vulnerable populations county by county, in each state. Prioritizing vulnerability could have mitigated health inequities and protected communities that were more likely to have the first and most concentrated COVID-19 outbreaks.

The vulnerabilities made visible in both maps predated the pandemic and created the conditions for the virus to flourish. Both maps display the acute inequalities embedded in the social and political landscape of the USA. This pandemic is not simply biological. It is a symptom of an illness in our body politic. As COVID-19 roared across the country, it followed the fault lines of social vulnerability.","Gonsalves, Gregg, and Amy Kapczynski. 2020. “The New Politics of Care.” Boston Review, April 26, 2020. http://bostonreview.net/politics/gregg-gonsalves-amy-kapczynski-new-politics-care.

Centers for Disease Control and Prevention, “COVID-19 Vaccine Distribution Allocations by Jurisdiction - Pfizer,” 2020, https://data.cdc.gov/Vaccinations/COVID-19-Vaccine-Distribution-Allocations-by-Juris/saz5-9hgg.

Centers for Disease Control and Prevention, “COVID-19 Vaccine Distribution Allocations by Jurisdiction - Moderna,” 2020, https://data.cdc.gov/Vaccinations/COVID-19-Vaccine-Distribution-Allocations-by-Juris/b7pe-5nws.

Centers for Disease Control and Prevention. 2020. “COVID-19 Hospitalization and Death by Age.” February 11, 2020. https://www.cdc.gov/coronavirus/2019-ncov/COVID-data/investigations-discovery/hospitalization-death-by-age.html.

Centers for Disease Control and Prevention, “CDC Social Vulnerability Index (SVI),” September 4, 2020, https://www.atsdr.cdc.gov/placeandhealth/svi/index.html.

Centers for Disease Control and Prevention. 2020. “Coronavirus Disease 2019 (COVID-19) 2020 Interim Case Definition, Approved August 5, 2020.” https://wwwn.cdc.gov/nndss/conditions/coronavirus-disease-2019-COVID-19/case-definition/2020/08/05/.

Centers for Medicare and Medicaid Services, “Nursing homes including rehab services, Provider Information,” 2020, https://data.cms.gov/provider-data/dataset/4pq5-n9py.

Centers for Medicare and Medicaid Services. 2020. “State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data, Centers for Medicare and Medicaid Services.” https://data.medicaid.gov/Enrollment/State-Medicaid-and-CHIP-Applications-Eligibility-D/n5ce-jxme.

Departamento de Salud. 2019. “Informe Anual de Estadísticas Vitales: Defunciones, años 2015 y 2016.” http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Estadisticas%20Vitales/Informe%20Anual%20Estad%C3%ADsticas%20Vitales%20Defunciones%202015-2016.pdf.

New York Times. 2020. “Coronavirus (COVID-19) Data in the United States.” https://github.com/nytimes/COVID-19-data.

Remington, Patrick L., Bridget B. Catlin, and Keith P. Gennuso. 2015. “The County Health Rankings: Rationale and Methods.” Population Health Metrics 13 (1): 11. https://doi.org/10.1186/s12963-015-0044-2.

University of Wisconsin Population Health Institute and Robert Wood Johnson Foundation. 2020. “2020 County Health Rankings National Data.” https://www.countyhealthrankings.org/explore-health-rankings/rankings-data-documentation.

US Bureau of Labor Statistics. 2020. “Local Area Unemployment Statistics.” https://www.bls.gov/lau/laufaq.htm#Q01.

US Census Bureau, “American Community Survey 5-Year Data (2015–2019),” 2020, https://www.census.gov/data/developers/data-sets/acs-5year.html.

US Census Bureau, “2018 County Business Patterns,” 2020, https://www.census.gov/programs-surveys/cbp.html.

US Census Bureau. 2020. “Puerto Rico Municipios Population Totals: 2010–2019.” https://www.census.gov/data/tables/time-series/demo/popest/2010s-total-puerto-rico-municipios.html.

US Census Bureau. 2019. “American Community Survey 5-Year Data (2014–2018).” https://www.census.gov/data/developers/data-sets/acs-5year.html.

US Bureau of Labor Statistics. 2020. “Labor Force Data by County, Not Seasonally Adjusted, Latest 14 Months.” https://www.bls.gov/web/metro/laucntycur14.txt.",laura-kurgan/readme; gregg-gonsalves/readme; dare-brawley/readme; jia-zhang/readme; suzan-iloglu/readme; thomas-thornhill/readme; adeline-chum/readme
Dasha Kolmakova,"Dasha Kolmakova is a data visualization engineer, artist, and designer from Yekaterinburg, Russia. She began her creative career at the age of 16, taking part in creation of an interactive sound installation with a group of artists led by the Berlin-born experimental musician and artist Boris Hegenbart. Having a BA in fundamental informatics and information technologies, Kolmakova is part of the data visualization studio Interacta that unites talented scientists, designers, and engineers to create next-generation visual analytics tools.",Kolmakova,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/dasha-kolmakova/image.jpg,,,,['maker'],,,"Yekaterinburg, Russia",,,,,,,
Dave Menninger,"Dave Menninger received a bachelor's degree in visual design from Stanford University. Since then, he has worked as a graphic and user interface designer in the San Francisco Bay Area for various computer startup companies and America Online. In 2006, he presented to the Midwest Model United Nations on peak oil and its implications. He lives with his fiancée, Monica, and their cat in Kiev, Ukraine.",Menninger,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/dave-menninger/image.jpg,,,,['maker'],,,"San Francisco, CA, USA",,,,,,,
David Chavalarias,"David Chavalarias is the director of the Complex Systems Institute of Paris Île-de-France (ISC-PIF - http://iscpif.fr) and Vice-President of the Complex Systems Society (http://cssociety.org). He holds a french PhD from the École Polytechnique in cognitive sciences and is graduated from the École Normale Supérieure de Cachan in Mathematics and Computer Sciences. Currently permanent researcher at the National Center for Scientific Research (CNRS) in France, he studies social and cognitive dynamics, both from the modeling and data-mining point of view. His research is strongly interdisciplinary and includes: quantitative epistemology, information visualization, modeling of the cultural dynamics, socio-semantic networks modeling, scientific discovery processes, and cognitive economics. He has been involved in the design of several interfaces for mapping knowledge dynamics from large corpora: academic digital repositories, online media, or press. Website: http://chavalarias.com
",Chavalarias,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/david-chavalarias/image.jpg,"{""type"":""Point"",""coordinates"":[2.263982669642494,48.84782254692198]}",,,"['maker', 'ambassador']",Professor,National Center for Scientific Research,"Paris, France",,,,,,,
David Dorling,"David Dorling, Danny Dorling's father, helped with the production of technical notes. His medical knowledge was particularly useful for producing a series of maps showing the world distribution of deaths from different causes.
",Dorling,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/david-dorling/image.jpg,,,,['maker'],,,,,,,,,,
David E. Polley,"David E. Polley holds a BA in political science from The College of Wooster and a master’s in library and information science from Indiana University–Bloomington. From January 2011 to January 2014, he was a research assistant with the Cyberinfrastructure for Network Science Center at IU. Currently, he is a social sciences librarian at Indiana University–Purdue University Indianapolis.",Polley,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/david-e-polley/image.jpg,,,,['maker'],,,"Indianapolis, IN, USA",,,,,,,
David McCandless,"David McCandless is a London-based author, data-journalist and information designer, working across print, advertising, TV and web. His design work has appeared in over forty publications internationally including The Guardian, Wired and Die Zeit. His commercial clients include Google, GE, and the BBC. His blog and book Information Is Beautiful are dedicated to visualizing ideas, issues, knowledge and data—all with the minimum of text.
",McCandless,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/david-mccandless/image.jpg,,,,['maker'],,,"London, England",,,,,,,
David N. Wiley,"David N. Wiley received his PhD in environmental studies from Antioch University with a focus on environmental decision making and conservation biology. He is an adjunct professor at the College of Science and Mathematics at the University of Massachusetts–Boston and the research coordinator for the Stellwagen Bank National Marine Sanctuary of the National Oceanic and Atmospheric Administration (NOAA). His research has ranged from studying the reproductive and foraging ecology of endangered whales to mapping toxic and hazardous marine dump sites. He is the recipient of numerous honors, including an Excellence in Scientific Communication Award from the international Society for Marine Mammalogy, an Ian Axford (Fulbright) Fellowship in Public Policy, and a U.S. Department of Commerce Gold Medal for scientific leadership. In 2012, he was profiled in the book Wildlife Heroes as one of the world’s 40 leading wildlife conservationists.",Wiley,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/david-n-wiley/image.jpg,,,,['maker'],,,"Boston, MA, USA",,,,,,,
David Newman,"David Newman received his PhD from Princeton University and was a post-doctoral scholar at the California Institute of Technology (Caltech). He is an associate researcher at the Department of Computer Science, University of California, Irvine. His research focuses on topic models as well as related text-mining and machine-learning techniques. The work is marked by a commitment to combining theoretical advances with practical applications in ways that broaden access and use for individuals and communities while improving the ways that people find, discover, analyze, and understand information.
",Newman,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/david-newman/image.jpg,,,,['maker'],,,"Irvine, CA, USA",,,,,,,
David Pescovitz,"David Pescovitz is a research director at IFTF; a writer-in-residence for the College of Engineering, including Electrical Engineering and Computer Sciences (EECS), at the University of California, Berkeley; and coeditor of the popular blog Boing Boing. Pescovitz holds a BFA in electronic media from the University of Cincinnati and an MS in journalism from the University of California, Berkeley. Pescovitz has also written for Scientific American, Popular Science, Business 2.0, The New York Times, The Washington Post, Salon, the Los Angeles Times, IEEE Spectrum, The Industry Standard, Spin, MTV (online), Interior Design, the Discovery Channel (online), Flash Art, Small Times, Britannica Online, and New Scientist, among many other publications and websites.",Pescovitz,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/david-pescovitz/image.jpg,,,,['maker'],,,"Berkeley, CA, USA",,,,,,,
David Reagan,David Reagan is a senior analyst and programmer with the Advanced Visualization Lab at Indiana University.,Reagan,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/david-reagan/image.jpg,,,,['maker'],,,"Bloomington, IN, USA",,,,,,,
David Rumsey,"David Rumsey is president of Cartography Associates, a digital publishing company based in San Francisco, and director of Luna Imaging, a provider of enterprise software for online image collections. He was a founding member of Yale Research Associates in the Arts, a group of artists working with electronic technologies. He subsequently became associate director of the American Society for Eastern Arts in San Francisco. Later, he entered a 20-year career in real estate development and finance, during which he had a long association with the General Atlantic Holding Company of New York and served as president and director of several subsidiaries. General Atlantic eventually became the Atlantic Trust, a Bermuda-based philanthropic foundation that is now one of the world's largest charities. Rumsey retired from real estate in 1995 and founded Cartography Associates, beginning a third career as a digital publisher, online library builder, and software entrepreneur.",Rumsey,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/david-rumsey/image.jpg,,,,['maker'],,,"San Francisco, CA, USA",,,,,,,
Deb Roy,"Deb Roy is a tenured member of the MIT faculty and directs the Cognitive Machines Group at the MIT Media Lab. A native of Canada, he received his BAS in computer engineering from the University of Waterloo and his PhD in cognitive science from MIT. He joined the MIT faculty in 2000 and was named AT&T Associate Professor of Media Arts and Sciences in 2003. Roy studies how children learn language and designs machines that learn to communicate in human-like ways. To enable this work, he has pioneered new data-driven methods for analyzing and modeling human linguistic and social behavior. He has authored numerous scientific papers on artificial intelligence, cognitive modeling, human–machine interaction, data mining, and information visualization. Roy’s research has been frequently featured in The New York Times, The Wall Street Journal, WIRED, National Geographic, and Science as well as on the BBC and National Public Radio.",Roy,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/deb-roy/image.jpg,,,,['maker'],,,"Cambridge, MA, USA",,,,,,,
Devin Becker,"Devin Becker holds a BA from Williams College, an MLS from Indiana University, and an MFA in English from the University of California at Irvine. He works as digital initiatives and scholarly communications librarian at the University of Idaho. Becker is also a codesigner of Literary Empires: Mapping Temporal and Spatial Settings of Victorian Poetry. Becker’s poetry appears in Cutbank, Prairie Schooner, and Faultline, among other journals, and his tutorials on cleaning and mapping Wikileaks data with Google Fusion Tables have been published in the online journal Spatial Humanities Step by Step.
",Becker,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/devin-becker/image.jpg,,,,['maker'],,,"Moscow, ID, USA",,,,,,,
